Temperature	Date	Time	Operator Name	
80.537 	 10/21/2021 	 15:30:52 	 Gesha 	 
80.537 	 10/21/2021 	 15:30:52 	 Gesha 	 
80.058 	 10/21/2021 	 15:30:52 	 Gesha 	 
80.058 	 10/21/2021 	 15:30:52 	 Gesha 	 
80.058 	 10/21/2021 	 15:30:52 	 Gesha 	 
80.058 	 10/21/2021 	 15:30:52 	 Gesha 	 
25.633 	 10/21/2021 	 15:53:52 	 Gesha 	 
25.633 	 10/21/2021 	 15:53:52 	 Gesha 	 
26.166 	 10/21/2021 	 15:53:52 	 Gesha 	 
27.231 	 10/21/2021 	 15:53:52 	 Gesha 	 
28.030 	 10/21/2021 	 15:53:52 	 Gesha 	 
28.297 	 10/21/2021 	 15:53:52 	 Gesha 	 
28.030 	 10/21/2021 	 15:53:53 	 Gesha 	 
82.454 	 10/21/2021 	 15:54:03 	 Gesha 	 
85.810 	 10/21/2021 	 15:54:55 	 Gesha 	 
86.290 	 10/21/2021 	 15:54:55 	 Gesha 	 
85.810 	 10/21/2021 	 15:54:55 	 Gesha 	 
74.305 	 10/21/2021 	 15:55:00 	 Gesha 	 
85.810 	 10/21/2021 	 15:55:02 	 Gesha 	 
85.810 	 10/21/2021 	 15:55:05 	 Gesha 	 
86.290 	 10/21/2021 	 15:55:05 	 Gesha 	 
85.810 	 10/21/2021 	 15:55:05 	 Gesha 	 
79.578 	 10/21/2021 	 15:55:09 	 Gesha 	 
78.140 	 10/21/2021 	 15:55:10 	 Gesha 	 
76.702 	 10/21/2021 	 15:55:10 	 Gesha 	 
78.140 	 10/21/2021 	 15:55:10 	 Gesha 	 
74.305 	 10/21/2021 	 15:55:10 	 Gesha 	 
78.140 	 10/21/2021 	 15:55:11 	 Gesha 	 
78.140 	 10/21/2021 	 15:55:11 	 Gesha 	 
79.099 	 10/21/2021 	 16:07:00 	 Gesha 	 
84.851 	 10/21/2021 	 16:07:01 	 Gesha 	 
85.331 	 10/21/2021 	 16:07:01 	 Gesha 	 
85.331 	 10/21/2021 	 16:07:02 	 Gesha 	 
85.810 	 10/21/2021 	 16:07:02 	 Gesha 	 
85.331 	 10/21/2021 	 16:07:02 	 Gesha 	 
84.851 	 10/21/2021 	 16:07:02 	 Gesha 	 
